,song,lyrics
0,Accidentally In Love,"So she said what's the problem baby|-|What's the problem I don't know|-|Well maybe I'm in love (love)|-|Think about it every time|-|I think about it|-|Can't stop thinking 'bout it|-|How much longer will it take to cure this|-|Just to cure it cause I can't ignore it if it's love (love)|-|Makes me wanna turn around and face me but I don't know nothing 'bout love|-|Come on, come on|-|Turn a little faster|-|Come on, come on|-|The world will follow after|-|Come on, come on|-|Cause everybody's after love|-|So I said I'm a snowball running|-|Running down into the spring that's coming all this love|-|Melting under blue skies|-|Belting out sunlight|-|Shimmering love|-|Well baby I surrender|-|To the strawberry ice cream|-|Never ever end of all this love|-|Well I didn't mean to do it|-|But there's no escaping your love|-|These lines of lightning|-|Mean we're never alone,|-|Never alone, no, no|-|Come on, come on|-|Move a little closer|-|Come on, come on|-|I wanna hear you whisper|-|Come on, come on|-|Settle down inside my love|-|Come on, come on|-|Jump a little higher|-|Come on, come on|-|If you feel a little lighter|-|Come on, come on|-|We were once|-|Upon a time in love|-|We're accidentally in love|-|Accidentally in love (x7)|-|Accidentally|-|I'm In Love, I'm in Love,|-|I'm in Love, I'm in Love,|-|I'm in Love, I'm in Love,|-|Accidentally|-|I'm In Love, I'm in Love,|-|I'm in Love, I'm in Love,|-|I'm in Love, I'm in Love,|-|Accidentally|-|Come on, come on|-|Spin a little tighter|-|Come on, come on|-|And the world will get brighter|-|Come on, come on|-|Just get yourself inside my love|-|I'm in love"
1,Angel In Blue Jeans,"I saw an angel in blue jeans today|-|It felt as she melted all my bitterness away|-|You always tried so hard|-|To hide you'r wings behind you'r coat|-|So let it be|-|And let them free|-|So you can hover low|-|Above the ground|-|You look so tired|-|You moon beams in you'r eyes|-|And if I belived,|-|I knew you'd be the first to fly|-|You always tried so hard|-|To hide you'r wings behind you'r coat|-|So let it be|-|And let them free|-|So you can hover low|-|Above the ground|-|I'll find sunshine,|-|Sometime soon|-|How can I miss anything about you,|-|When I don't even know what you'r name is?|-|I feel like I know you|-|As well as I know the sun|-|So please tell me,|-|Where is my sunshine now?|-|I'll find sunshine,|-|Sometime soon|-|How can I miss anything about you,|-|When I don't even know what you'r name is?|-|I feel like I know you|-|As well as I know the sun|-|So please tell me,|-|Where is my sunshine now?|-|How can I miss anything about you,|-|When I don't even know what you'r name is?|-|I feel like I know you|-|As well as I know the sun|-|I wonder,|-|Where is my sunshine now?"
3,Animals,"Baby, I'm preying on you tonight|-|Hunt you down, eat you alive|-|Just like animals, animals|-|Like animals-mals|-|Maybe you think that you can hide|-|I can smell your scent for miles|-|Just like animals, animals|-|Like animals-mals|-|Baby, I'm|-|So what you trying to do to me|-|It's like we can't stop, we're enemies|-|But we get along when I'm inside you, yeah|-|You're like a drug that's killing me|-|I cut you out entirely|-|But I get so high when I'm inside you|-|Yeah, you can start over, you can run free|-|You can find other fish in the sea|-|You can pretend it's meant to be|-|But you can't stay away from me|-|I can still hear you making that sound|-|Taking me down, rolling on the ground|-|You can pretend that it was me|-|But no, oh|-|Baby, I'm preying on you tonight|-|Hunt you down, eat you alive|-|Just like animals, animals|-|Like animals-mals|-|Maybe you think that you can hide|-|I can smell your scent for miles|-|Just like animals, animals|-|Like animals-mals|-|Baby, I'm|-|So if I run, it's not enough|-|You're still in my head forever stuck|-|So you can do what you wanna do, yeah|-|I love your lies, I'll eat 'em up|-|But don't deny the animal|-|That comes alive when I'm inside you|-|Yeah, you can start over, you can run free|-|You can find other fish in the sea|-|You can pretend it's meant to be|-|But you can't stay away from me|-|I can still hear you making that sound|-|Taking me down, rolling on the ground|-|You can pretend that it was me|-|But no|-|Baby, I'm preying on you tonight|-|Hunt you down, eat you alive|-|Just like animals, animals|-|Like animals-mals|-|Maybe you think that you can hide|-|I can smell your scent for miles|-|Just like animals, animals|-|Like animals-mals|-|Baby, I'm|-|Don't tell no lie, lie, lie, lie|-|You can't deny, ny, ny, ny|-|That beast inside, side, side, side|-|Yeah, yeah, yeah|-|No girl don't lie, lie, lie, lie|-|You can't deny, ny, ny, ny|-|The beast inside, side, side, side|-|Yeah, yeah, yeah|-|Oh oh, woah oh oh oh, woah oh oh oh|-|Just like animals, animals|-|Like animals-mals|-|Just like animals, animals|-|Like animals-mals|-|Ah-ooh|-|Baby, I'm preying on you tonight|-|Hunt you down, eat you alive|-|Just like animals, animals|-|Like animals-mals|-|Maybe you think that you can hide|-|I can smell your scent for miles|-|Just like animals, animals|-|Like animals-mals|-|Don't tell no lie, lie, lie, lie|-|You can't deny, ny, ny, ny|-|That beast inside, side, side, side|-|Yeah, yeah, yeah|-|No girl don't lie, lie, lie, lie|-|You can't deny, ny, ny, ny|-|That beast inside, side, side, side|-|Yeah, yeah, yeah"
4,Animals (Remix),"Baby, I'm preying on you tonight|-|Hunt you down eat you alive|-|Just like animals, animals, like animals-mals|-|Maybe you think that you can hide|-|I can smell your scent from miles|-|Just like animals, animals, like animals-mals|-|Baby, I'm|-|So what you trying to do to me|-|It's like we can't stop we're enemies|-|But we get along when I'm inside you|-|You're like a drug that's killing me|-|I cut you out entirely|-|But I get so high when I'm inside you|-|Yeah, you can start over, you can run free|-|You can find other fish in the sea|-|You can pretend it's meant to be|-|But you can't stay away from me|-|I can still hear you making that sound|-|Taking me down, rolling on the ground|-|You can pretend that it was me|-|But no|-|Baby, I'm preying on you tonight|-|Hunt you down eat you alive|-|Just like animals, animals, like animals-mals|-|Maybe you think that you can hide|-|I can smell your scent from miles|-|Just like animals, animals, like animals-mals|-|Baby, I'm|-|So if I run it's not enough|-|You're still in my head forever stuck|-|So you can do what you wanna do|-|I love your lies, I'll eat 'em up|-|But don't deny the animal|-|That comes alive when I'm inside you|-|Yeah, you can start over you can run free|-|You can find other fish in the sea|-|You can pretend it's meant to be|-|But you can't stay away from me|-|I can still hear you making that sound|-|Taking me down rolling on the ground|-|You can pretend that it was me|-|But no|-|Baby, I'm preying on you tonight|-|Hunt you down eat you alive|-|Just like animals, animals, like animals-mals|-|Maybe you think that you can hide|-|I can smell your scent from miles|-|Just like animals, animals, like animals-mals|-|Baby, I'm|-|Don't tell no lie-lie-lie-lie|-|You can't deny-ny-ny-ny|-|The beast inside-side-side-side|-|Yeah, yeah, yeah|-|No, girl, don't lie-lie-lie-lie|-|You can't deny-ny-ny-ny|-|The beast inside-side-side-side|-|Yeah, yeah, yeah|-|Yo...|-|Whoa...|-|Whoa...|-|Just like animals, animals, like animals-mals|-|Just like animals (yeah...), animals (yeah...), like animals-mals (yeah...)|-|Ow|-|Baby, I'm preying on you tonight|-|Hunt you down eat you alive|-|Just like animals, animals, like animals-mals|-|Maybe you think that you can hide|-|I can smell your scent from miles|-|Just like animals, animals, like animals-mals|-|Baby, I'm|-|Don't tell no lie-lie-lie-lie|-|You can't deny-ny-ny-ny|-|That beast inside-side-side-side|-|Yeah, yeah, yeah|-|No, girl, don't lie-lie-lie-lie|-|You can't deny-ny-ny-ny|-|That beast inside-side-side-side|-|Yeah, yeah, yeah"
5,As Things Collide,"You have this way of dipping in and out of|-|Sight as things collide|-|Bridges burning softly in the night|-|And you have this way of falling in and out of|-|Time as it goes by|-|Passing silently with no goodbye|-|And I've spoken with all the other angels|-|They dont know what to do|-|And i agree with them whole-heartedly, I do|-|Tellogram came today from a friend|-|Saying, ""Where in the hell have you been?|-|Where are you goin'?""|-|I said, ""I dont know, does the lonliness show?|-|And if so does it ever end?""|-|And I've spoken with all the other angels|-|They dont know what to do|-|And I agree with them whole-heartedly, I do|-|You have this way of meaning everything and nothing to me|-|At the same time|-|Returning my hellos with goodbyes|-|'Cause I've spoken with all the other angels|-|They dont know what to do|-|And I agree with them whole-heartedly, I do...|-|'Cause I've spoken with all the other angels|-|They dont know what to do|-|And I agree with them whole-heartedly, I do...|-|And I've spoken with all the other angels|-|They dont know what to do|-|And I agree with them whole-heartedly, I do"
6,Back At Your Door,"From the moment the lights went off|-|Everything had changed|-|Lie awake in an empty room|-|In my head it all feels the same|-|Like the taste of the day you left|-|That still lingers on my breath|-|And the dampness of tears that left|-|A stain where you had wept|-|All alone with the negligee|-|That still hangs off of my bed|-|I keep meaning to give it away|-|But I just leave it there instead|-|No need to cry about it|-|I cannot live without it|-|Every time I wind up back at your door|-|Why do you do this to me?|-|You penetrate right through me|-|Every time I wind up back at your door|-|3 more days til I see your face|-|I'm afraid it's far too much|-|Cook a meal and fix up the place|-|Dial your number, hang it up|-|If I took you for granted|-|I apologize for acting tough|-|You're my reason for living|-|And there's no way I'm giving up, oh|-|Don't need to cry about it|-|I cannot live without it|-|Every time I wind up back at your door|-|Why do you do this to me?|-|You penetrate right through me|-|Every time I wind up back at your door|-|Now every evening is a bitter fight|-|And I'm eating home alone on a Friday night|-|I know what your friends say|-|""You're just wasting your love and time""|-|I will never let you change your mind|-|No need to cry about it|-|I cannot live without it|-|Every time I wind up back at your door|-|Why do you do this to me?|-|You penetrate right through me|-|Every time I wind up back at your door|-|No need to cry about it|-|I may just die without it|-|Every time I wind up back at your door|-|Why do you do this to me?|-|You penetrate right through me|-|Every time I wind up back at your door|-|Every time I wind up back at your door|-|Every time I wind up back at your door"
7,Beautiful Goodbye,"I count the ways I let you down|-|On my fingers and toes but I'm running out|-|Clever words can't help me now|-|I grip you tight but you're slipping out|-|And I remember your eyes were so bright|-|When I first I met you, so in love that night|-|And now I'm kissing your tears goodnight|-|And I can't take it, you're even perfect when you cry|-|Beautiful goodbye, bye, bye|-|It's dripping from your eyes|-|Your beautiful goodbye, oh|-|It's dripping from your eyes, oh yeah|-|When did the rain become a storm|-|When did the clouds begin to form|-|Yeah we got knocked off course by a natural force|-|And well, we'll be swimming when it's gone|-|And I remember your eyes were so bright|-|When I first met you, so in love that night|-|And now I'm kissing your tears goodnight|-|And I can't take it, you're even perfect when you cry|-|Beautiful goodbye, bye, bye|-|It's dripping from your eyes|-|Your beautiful goodbye, oh|-|It's dripping from your eyes, oh yeah|-|All the pain you try to hide|-|Shows through your mascara lines as they stream down from your eyes|-|And let them go, let them fly|-|Holding back, won't turn back time|-|Believe me I've tried|-|And your eyes were so bright|-|I remember your eyes were so bright|-|And I remember your eyes were so bright|-|When I first met you, how in love were we that night|-|And now I'm kissing your tears goodnight|-|And I can't take it, you're even perfect when you cry|-|Beautiful goodbye, bye, bye|-|It's dripping from your eyes|-|Your beautiful goodbye|-|It's dripping from your eyes, yeah|-|Beau... Ooooo-ooooh oh yeah"
8,Belated Bliss,"She left the cabaret|-|after someone whispered, ""Honey""?|-|(But was it her or was I?)|-|Maybe we are just one?|-|She (I?) Left her message|-|on the strings of a black guitar,|-|two words only,|-|a sustained cry.|-|She left her longing, love,|-|floating in the air and in my mind,|-|infecting all|-|of desire.|-|How did you feel?|-|(Well, I hope)|-|She (I?) Left her message|-|on the strings of a black guitar,|-|two words only,|-|a sustained cry.|-|Too many questions|-|unanswered|-|in exchange for a ticket to light..|-|And I just I have|-|the map of your skin,|-|one dated February 22."
9,Best 4 U,"Yeah another night out|-|I get drunk, I get high|-|Then you call and I lie|-|And I say I'm on my way now|-|Yeah, I say I'm on my way now|-|Show up when it's lights out|-|When you're dressing for work|-|And I'm mumbling words|-|I don't know what to say now|-|No, I don't know what to say now|-|You tell me I don't care|-|Tell me I never try|-|I said I'm sorry|-|Maybe a million times|-|It's gonna hurt you|-|If I don't say goodbye|-|You don't believe me|-|You don't believe me|-|I just want the best for you|-|I just want the best for you|-|But I'm just not the best for you|-|You don't want|-|What I'm gonna put you through|-|I just want the best for you|-|I just want the best for you|-|But I'm just not the best for you|-|You don't want|-|What I'm gonna put you through|-|Oh oh oh no baby|-|Oh oh oh no baby|-|Oh oh oh oh baby|-|You don't want|-|What I'm gonna put you through|-|Ah, parties with shots and powder|-|But, you rather sleep eight hours|-|And I know you got your doubts|-|'Cause I can't turn this life around, baby|-|Thought it was just a phase|-|Till I woke up a thousand days later|-|Realizing I'm the same|-|As I was before I saw your face|-|You tell me I don't care|-|Tell me I never try|-|I said I'm sorry|-|Maybe a million times|-|It's gonna hurt you|-|If I don't say goodbye|-|You don't believe me|-|You don't believe me|-|I just want the best for you|-|I just want the best for you|-|But I'm just not the best for you|-|You don't want|-|What I'm gonna put you through|-|I just want the best for you|-|I just want the best for you|-|But I'm just not the best for you|-|You don't want|-|What I'm gonna put you through|-|Oh oh oh no baby|-|Oh oh oh no baby|-|Oh oh oh oh baby|-|You don't want|-|What I'm gonna put you through|-|Oh oh oh no baby|-|Oh oh oh no baby|-|Oh oh oh oh baby|-|I just want the best for you|-|You tell me I don't care|-|Tell me I never try|-|I said I'm sorry|-|Maybe a million times|-|It's gonna hurt you|-|If I don't say goodbye|-|You don't believe me|-|You don't believe me|-|I just want the best for you|-|I just want the best for you|-|But I'm just not the best for you (for you)|-|You don't want|-|What I'm gonna put you through|-|I just want the best for you (just want the best for you)|-|I just want the best for you (just want the best for you)|-|But I'm just not the best for you (I'm not the best for you)|-|You don't want|-|What I'm gonna put you through|-|Oh oh oh no baby|-|Oh oh oh no baby|-|Oh oh oh oh baby|-|You don't want|-|What I'm gonna put you through|-|Oh oh oh no baby (yeah)|-|Oh oh oh no baby (yeah)|-|Oh oh oh oh baby|-|I just want the best for you|-|I just want the best for you, ooh"
10,Best 4 You,"I just want the best for you|-|Yeah another night out|-|I get drunk, I get high|-|Then you call and I lie|-|And say I'm on my way now|-|Yeah, I say I'm on my way now|-|Show up when it's light out|-|When you're dressing for work|-|And I'm mumbling words|-|I don't know what to say now|-|No, I don't know what to say now|-|You tell me I don't care, tell me I never try|-|I said I'm sorry maybe a million times|-|It's gonna hurt ya if I don't say goodbye|-|You don't believe me, you don't believe me|-|I just want the best for you|-|I just want the best for you|-|But I'm just not the best for you|-|You don't want what I'm gonna put ya through|-|I just want the best for you|-|I just want the best for you|-|But I'm just not the best for you|-|You don't want what I'm gonna put ya through|-|Oh oh no, baby|-|Oh oh no, baby|-|Oh oh, baby|-|You don't want what I'm gonna put ya through|-|Parties with shots and powder|-|But you'd rather sleep eight hours|-|And I know you got your doubts|-|'Cause I can't turn this life around, baby|-|Thought it was just a phase|-|'Til I woke up a thousand days later|-|Realizing I'm the same as I was before I saw your face|-|You tell me I don't care, tell me I never try|-|I said I'm sorry maybe a million times|-|It's gonna hurt ya if I don't say goodbye|-|You don't believe me, you don't believe me|-|I just want the best for you|-|I just want the best for you|-|But I'm just not the best for you|-|You don't want what I'm gonna put ya through|-|I just want the best for you|-|I just want the best for you|-|But I'm just not the best for you|-|You don't want what I'm gonna put ya through|-|Oh oh no, baby|-|Oh oh no, baby|-|Oh oh, baby|-|You don't want what I'm gonna put ya through|-|Oh oh no, baby|-|Oh oh no, baby|-|Oh oh, baby|-|I just want the best for you|-|You tell me I don't care, tell me I never try|-|I said I'm sorry maybe a million times|-|It's gonna hurt ya if I don't say goodbye|-|You don't believe me, you don't believe me|-|I just want the best for you|-|I just want the best for you|-|But I'm just not the best for you (for you)|-|You don't want what I'm gonna put ya through|-|I just want the best for you (just want the best for you)|-|I just want the best for you (just want the best for you)|-|But I'm just not the best for you (I'm not the best for you)|-|You don't want what I'm gonna put ya through|-|Oh oh no, baby|-|Oh oh no, baby|-|Oh oh, baby|-|You don't want what I'm gonna put ya through|-|Oh oh no, baby (Yeah)|-|Oh oh no, baby (Yeah)|-|Oh oh, baby|-|I just want the best for you|-|I just want the best for you"
